Terminal_ID,PTSP,Merchant_ID,Merchant_Name,MCC,Currency Code,Country Code
10056360,Global Accelerex, FBP205620097512,Next Cash & Carry Limited Phc,5300,566,566
28443900,Global Accelerex,FBP205620097512,Next Cash & Carry Limited Phc,5300,566,566
